O*NET-SOC Code,Title,Workplace Example,Element ID,Element Name,Hot Technology,In Demand
15-1252.00,Software Developers,Oracle Business Intelligence Discoverer,2.E.6.e,Data base reporting software,N,N
15-1252.00,Software Developers,Oracle Business Intelligence Enterprise Edition,2.E.6.m,Business intelligence and data analysis software,N,N
15-1252.00,Software Developers,Oracle Business Intelligence Suite,2.E.6.e,Data base reporting software,N,N
15-1252.00,Software Developers,Oracle Cloud software,2.E.11.e,Cloud-based management software,Y,N
15-1252.00,Software Developers,Oracle Database,2.E.6.d,Data base management system software,Y,N
15-1252.00,Software Developers,Oracle E-Business Suite Financials,2.E.2.d,Financial analysis software,N,N
15-1252.00,Software Developers,Oracle Eloqua,2.E.6.c,Customer relationship management CRM software,N,N
15-1252.00,Software Developers,Oracle Fusion Applications,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1252.00,Software Developers,Oracle Fusion Middleware,2.E.7.c,Enterprise application integration software,N,N
15-1252.00,Software Developers,Oracle Hyperion,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1252.00,Software Developers,Oracle Java,2.E.7.e,Object or component oriented development software,Y,Y
15-1252.00,Software Developers,Oracle Java 2 Platform Enterprise Edition J2EE,2.E.7.b,Development environment software,Y,N
15-1252.00,Software Developers,Oracle Java Message Service JMS,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Oracle JavaServer Pages JSP,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,Oracle JD Edwards EnterpriseOne,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1252.00,Software Developers,Oracle JDBC,2.E.6.f,Data base user interface and query software,N,N
15-1252.00,Software Developers,Oracle PeopleSoft,2.E.2.b,Enterprise resource planning ERP software,Y,N
15-1252.00,Software Developers,Oracle PeopleSoft Financials,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1252.00,Software Developers,Oracle PL/SQL,2.E.6.d,Data base management system software,Y,N
15-1252.00,Software Developers,Oracle Primavera Enterprise Project Portfolio Management,2.E.1.e,Project management software,Y,N
15-1252.00,Software Developers,Oracle Reports,2.E.6.e,Data base reporting software,N,N
15-1252.00,Software Developers,Oracle Solaris,2.E.13.c,Operating system software,N,N
15-1252.00,Software Developers,Oracle SQL Developer,2.E.7.b,Development environment software,Y,N
15-1252.00,Software Developers,Oracle WebLogic Server,2.E.10.a,Application server software,N,N
15-1252.00,Software Developers,Pascal,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Patch management software,2.E.7.a,Configuration management software,N,N
15-1252.00,Software Developers,Perforce Helix software,2.E.7.a,Configuration management software,N,N
15-1252.00,Software Developers,Perl,2.E.7.e,Object or component oriented development software,Y,N
15-1252.00,Software Developers,PHP,2.E.7.h,Web platform development software,Y,N
15-1252.00,Software Developers,Platform as a service PaaS,2.E.16.i,Cloud-based data access and sharing software,N,N
15-1252.00,Software Developers,PostgreSQL,2.E.6.j,Object oriented data base management software,Y,Y
15-1252.00,Software Developers,Programming language one PL/I,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Prolog,2.E.7.b,Development environment software,N,N
